Distribution,KS_Statistic,KS_CriticalCutoff,Chi2_Statistic,Chi2_CriticalCutoff,Chi2_DF,AIC
Exponential,0.037715684203742106,0.018851811705432882,103.4842671370702,15.507313055865454,8,-27338.22761705542
Normal,0.1932323366839928,0.018851811705432882,3423.047989647366,9.487729036781158,4,-9051.646228456351
TruncNormal,0.05311356642896248,0.018851811705432882,222.4773655665246,12.59158724374398,6,-22762.440210115867
LogNormal,0.0850072764637752,0.018851811705432882,481.75428631931794,33.92443847144379,22,-16754.36081310864
Weibull_2P,0.02116859339331087,0.018851811705432882,52.202068588556635,15.507313055865454,8,-36222.700121281836
Weibull_3P,0.09643408645905105,0.018851811705432882,313.51856309297034,12.59158724374398,6,-13712.652494271013
Gamma_2P,0.022280965688361354,0.018851811705432882,62.1308276649074,15.507313055865454,8,-36112.611701463924
Gamma_3P,0.023130464449226423,0.018851811705432882,62.181982292026035,14.067140449340167,7,-36186.84295004173
