Copula,Margin System,Theta Parameter,NLL,AIC,Theta (Rho)
Frank,Empirical Baseline,7.849200825734513,-2347.5704261867604,-4693.140852373521,
Gaussian,Empirical Baseline,,-1834.00327717453,-3666.00655434906,0.7135468044577418
Gumbel,Empirical Baseline,1.7072953599925775,-1748.8410949719148,-3495.6821899438296,
Clayton,Empirical Baseline,1.4936501679485612,-1488.5728889558686,-2975.1457779117372,
