Copula Type,Parameter (MLE),Log-Likelihood,AIC
Frank,7.849190133311774,2347.5704261682877,-4693.140852336575
Gumbel,2.2199544521731935,2192.5840174255113,-4383.168034851023
Gaussian,0.7135468026181814,1834.0032771745296,-3666.006554349059
Clayton,1.4936505796379613,1488.5728889559582,-2975.1457779119164
